Experiment,Query,Top-k,Top Score,Average Score,Top Source,Top Chunk ID,Top Chunk Type,Top Document Preview
Alias Enriched RAG,Seat Leakage의 증상과 조치는 무엇인가요?,3,0.43683368375688847,0.3182970772149493,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,6,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Seat Leakage 검색 보강] 대표 질문: - Seat Leakage가 발생하면 어떤 증상이 나타나나요? - 밸브 시트 누설 증상은 무엇인가요? - 밸브 내부 누설이 발생하면 어떻게 조치해야 하나요?  검색 키워드: Seat Leakage, 시트 누설, Internal Leakage, 밸브 내부 누설, 압력 저하, 누설음, RMS 증가, 밸브 시트 손상, 이물질   [Foreign Object 검색"
Alias Enriched RAG,Packing 누설이 발생하면 무엇을 점검해야 하나요?,3,0.3664071428321547,0.32286190403451775,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,7,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Packing Leakage / Stem Leakage 검색 보강] 대표 질문: - Packing 누설이 발생하면 무엇을 점검해야 하나요? - 스템 부위에서 누설이 발생하면 어떻게 해야 하나요?  검색 키워드: Packing Leakage, 패킹 누설, Stem Leakage, 스템 누설, Gland Packing, 체결 상태, 씰링, 누설음, 압력 저하   [RMS 검색 보강] 대표 질문: - RMS "
Alias Enriched RAG,배관에서 가스가 새면 어떻게 해야 하나요?,3,0.3065070723509564,0.2829667930521668,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,15,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 배관에서 가스가 새면 어떻게 해야 하나요? - 밸브에서 가스가 새면 어떻게 조치해야 하나요? - 가스 누설 발생 시 증상과 조치는 무엇인가요?  검색 키워드: 가스 누설, 배관 누설, 밸브 누설, 수소 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, "
Alias Enriched RAG,밸브가 떨리면 무엇을 점검해야 하나요?,3,0.22623553337626,0.22364549714366952,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,14,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Foreign Object 검색 보강] 대표 질문: - Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요? - 밸브 내부 이물질 문제는 무엇인가요?  검색 키워드: Foreign Object, 이물질, 밸브 내부 이물질, 막힘, 유량 저하, 이상 소음, 압력 변화, 밸브 손상   [원본 문서 Chunk] 정비 후 검증  - 불규칙 Peak 감소 - 충격음 소멸 - Strainer/필"
Alias Enriched RAG,RMS 값이 높으면 어떤 조치를 해야 하나요?,3,0.3906677960656926,0.3351767495540674,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,22,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요?  검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 이상 진단, 상태 감시, threshold, alarm, condition monitoring   [FFT / Frequency Analysis 검색 보강] 대표 질문: - FFT 분석은 "
Alias Enriched RAG,FFT 분석은 왜 필요한가요?,3,-0.03186679357633082,-0.033710942981874416,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,22,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요?  검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 이상 진단, 상태 감시, threshold, alarm, condition monitoring   [FFT / Frequency Analysis 검색 보강] 대표 질문: - FFT 분석은 "
Alias Enriched RAG,Cavitation이 발생하면 어떤 문제가 생기나요?,3,0.27571770369568704,0.18196397793823474,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,8,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Cavitation 검색 보강] 대표 질문: - Cavitation이 발생하면 밸브에 어떤 문제가 생기나요? - 캐비테이션 소음이 발생하면 무엇을 점검해야 하나요?  검색 키워드: Cavitation, 캐비테이션, 공동현상, 고주파 소음, 진동, 밸브 손상, 압력 변화, 유량 변화   [FFT / Frequency Analysis 검색 보강] 대표 질문: - FFT 분석은 밸브 이상 진단에 왜 필요한가요"
Alias Enriched RAG,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,3,0.28960391016826836,0.2356476270962178,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,13,alias_enriched_chunk,"  [공통 검색용 키워드] 선박 배관, 밸브, 점검, 조치 Ship pipe, valve, inspection, action   [Foreign Object 검색 보강] 대표 질문: - Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요? - 밸브 내부 이물질 문제는 무엇인가요?  검색 키워드: Foreign Object, 이물질, 밸브 내부 이물질, 막힘, 유량 저하, 이상 소음, 압력 변화, 밸브 손상   [원본 문서 Chunk] KB-06. Foreign Object / Debris  항목  내용  Cate"
