Experiment,Query,Top-k,Top Score,Average Score,Top Source,Top Chunk ID,Top Chunk Type,Top Document Preview
Baseline RAG,Seat Leakage의 증상과 조치는 무엇인가요?,3,0.5119694185062899,0.38705746892435045,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"대표 질문  Seat Leakage 증상은? Seat Leakage 원인은? Seat Leakage 발생 시 조치사항은? RMS 증가와 고주파 누설음이 있으면 무엇을 점검해야 하나요? Seat 누설 검증 방법은?  한글 검색 키워드  시트 누설, Seat 마모, 이물질 유입, 디스크 손상, 고주파 누설음, 압력 저하, 누설 시험  영문 검색 키워드  Seat Leakage, Seat leak, RMS increase, High frequency leakage sound, Pressure drop, Seat wear, Foreign "
Baseline RAG,Packing 누설이 발생하면 무엇을 점검해야 하나요?,3,0.3731105990878124,0.2922039352039559,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,Packing Leakage  Packing Leakage 조치사항은? / Stem 부위 누설 시 무엇을 점검하나요?  Cavitation  Cavitation 원인은? / 자갈 튀는 소리가 납니다.  Flange/Gasket  flange leakage / 플랜지에서 가스가 새요 / 가스켓 누설 검증 방법은?  Pipe Gas Leakage  배관에서 무색 가스가 나와요 / 가스 발생 / 배관에서 가스가 새요  Vibration/Noise  밸브 떨림 / 배관 떨림 / 배관 소리가 크다 / 밸브 소리가 크다  Bubble Test
Baseline RAG,배관에서 가스가 새면 어떻게 해야 하나요?,3,0.3506761266534031,0.29388548206794446,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"점검/진단 방법  1. 작업 전 배관을 격리하고 압력을 제거한다. 2. 플랜지 외관, 볼트 체결 상태, 가스켓 돌출/손상 여부를 확인한다. 3. 비눗물 테스트 또는 Leak Test로 누설 위치를 확인한다. 4. 압력 유지 시험으로 누설 여부를 재검증한다.  권장 조치  1. 볼트를 균등하게 재체결한다. 2. 가스켓 손상 시 교체한다. 3. 플랜지 면 손상 시 보수 또는 교체한다. 4. 재조립 후 Leak Test와 Pressure Test를 수행한다.  정비 후 검증  - 기포 발생 없음 - 압력 유지 시험 합격 - 플랜지 체결 "
Baseline RAG,밸브가 떨리면 무엇을 점검해야 하나요?,3,0.1830954522333582,0.1591664665997021,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"점검/진단 방법  1. 소음 발생 위치를 확인한다. 2. Valve Body, Inlet Pipe, Outlet Pipe에서 음향 데이터를 측정한다. 3. FFT Peak와 Spectral Centroid를 확인한다. 4. 누설, Cavitation, 체결 불량 가능성을 비교한다.  권장 조치  1. 누설이면 Leak Test와 Seal 점검을 수행한다. 2. Cavitation이면 운전조건을 조정한다. 3. 체결 문제면 볼트와 Support를 보강한다. 4. 이물질 의심 시 Strainer와 라인 Flush를 수행한다.  정비 후"
Baseline RAG,RMS 값이 높으면 어떤 조치를 해야 하나요?,3,0.3494706003454461,0.32021283411611307,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,권장 조치  1. Seat를 세척한다. 2. 손상이 있으면 Seat 또는 Disc를 교체한다. 3. 재조립 후 체결 상태를 확인한다. 4. 동일 조건에서 음향 데이터를 재측정한다.  정비 후 검증  - 정비 전후 RMS 감소 여부 확인 - 고주파 누설음 소멸 여부 확인 - Leak Test 합격 기록 - 정비 이력 Vector DB 업데이트  RAG 사용 메모  증상/원인/조치 질문은 Trouble Guide를 우선 근거로 사용한다.    KB-02. Packing / Stem Leakage  항목  내용  Category  Val
Baseline RAG,FFT 분석은 왜 필요한가요?,3,-0.04624122914206219,-0.062130394345376226,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"RAG 사용 메모  점검/절차/검증 질문은 이 섹션을 우선 검색하도록 한다.    6. Vector DB 업데이트 운영 절차  상황  판정  조치  유사도 0.800 이상  현재 DB에 충분한 근거 있음  답변 생성 및 가장 유력한 근거 문서 1개 표시  유사도 0.600~0.799  부분 근거 있음  참고 답변으로 표시하고 향후 보완 후보로 저장  유사도 0.600 미만  근거 부족  답변 생성 중단, 질문과 필요한 문서를 DB 업데이트 후보로 저장  새로운 질문 반복 발생  DB 범위 확대 필요  해당 고장 유형 섹션을 통합 문"
Baseline RAG,Cavitation이 발생하면 어떤 문제가 생기나요?,3,0.24789117419703643,0.2071426176302389,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"구분  RAG 지식 내용  대표 증상  - Stem 부위 미세 누설 - Spectral Centroid 증가 - 미세 누설음 또는 고주파 성분 증가  가능 원인  - Packing 노화 - Gland 체결력 부족 - Stem 표면 손상 - 운전 중 반복 개폐에 의한 Seal 성능 저하  점검/진단 방법  1. Stem 주변 누설 흔적을 확인한다. 2. Gland 체결 상태와 체결 토크를 확인한다. 3. Stem 표면 흠집, 편심, 오염을 확인한다. 4. 음향 Feature 중 Spectral Centroid 증가 여부를 확인한다. "
Baseline RAG,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,3,0.27530769915337305,0.18269429852923155,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,,baseline_chunk,"KB-06. Foreign Object / Debris  항목  내용  Category  Contamination / Internal Obstruction  대표 질문  간헐적 충격음이 납니다. 이물질 유입 시 조치는? 불규칙 Peak 원인은?  한글 검색 키워드  이물질 유입, 필터 파손, 라인 Flush, Strainer 확인, 불규칙 Peak, 간헐적 충격음  영문 검색 키워드  Foreign Object, Debris, Intermittent impact noise, Irregular Peak, Line flushing, S"
