Experiment,Query,Expected Topic,Top-k,Top Score,Average Score,Hit@1,Hit@3,Top Raw Distance,Search Query Used,Top Chunk Type,Top Source,Top Topic Metadata,Top Document Preview
Negative Query Test: High Precision DB,선박 식당 메뉴는 어떻게 정하나요?,,3,0.2137,0.2074,False,False,0.7862615585327148,선박 식당 메뉴는 어떻게 정하나요?,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Seat Leakage | Packing Leakage | Cavitation | Valve Vibration / Loose Fastener | RMS | Foreign Object," [검색 보강 Alias]  [Seat Leakage 검색 보강] 대표 질문: - Seat Leakage가 발생하면 어떤 증상이 나타나나요? - 밸브 시트 누설 증상은 무엇인가요? 검색 키워드: Seat Leakage, 시트 누설, Internal Leakage, 밸브 내부 누설, 압력 저하, 누설음, RMS 증가   [Packing Leakage 검색 보강] 대표 질문: - Packing 누설이 발생하면 무엇을 점검해야 하나요? - 스템 부위에서 누설이 발생합니다. 검색 키워드: Packing Leakage, 패킹 누설, Stem"
Negative Query Test: High Precision DB,축구 경기 결과를 알려주세요.,,3,0.1769,0.1721,False,False,0.8231086730957031,축구 경기 결과를 알려주세요.,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Cavitation | RMS | FFT Analysis," [검색 보강 Alias]  [Cavitation 검색 보강] 대표 질문: - Cavitation이 발생하면 밸브에 어떤 문제가 생기나요? - 캐비테이션 소음이 발생합니다. 검색 키워드: Cavitation, 캐비테이션, 공동현상, 고주파 소음, 진동, 밸브 손상, 압력 변화   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요? 검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 이상 진단, 상태 감시   [FFT /"
Negative Query Test: High Precision DB,법인세 신고 방법은 무엇인가요?,,3,0.2824,0.2761,False,False,0.7176222801208496,법인세 신고 방법은 무엇인가요?,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Seat Leakage | RMS | Foreign Object," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [Seat Leakage 검색 보강] 대표 질문: - Seat Leakage가 발생하면 어떤 증상이 나타나나요? - 밸브 시트 누설 증상은 무엇"
